dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
9/2/2020,9,2,2020,0,0,Germany,DE,DEU,82927922,Europe
8/2/2020,8,2,2020,1,0,Germany,DE,DEU,82927922,Europe
7/2/2020,7,2,2020,1,0,Germany,DE,DEU,82927922,Europe
6/2/2020,6,2,2020,0,0,Germany,DE,DEU,82927922,Europe
5/2/2020,5,2,2020,0,0,Germany,DE,DEU,82927922,Europe
4/2/2020,4,2,2020,2,0,Germany,DE,DEU,82927922,Europe
3/2/2020,3,2,2020,1,0,Germany,DE,DEU,82927922,Europe
2/2/2020,2,2,2020,1,0,Germany,DE,DEU,82927922,Europe
1/2/2020,1,2,2020,2,0,Germany,DE,DEU,82927922,Europe
31/01/2020,31,1,2020,1,0,Germany,DE,DEU,82927922,Europe
30/01/2020,30,1,2020,0,0,Germany,DE,DEU,82927922,Europe
29/01/2020,29,1,2020,3,0,Germany,DE,DEU,82927922,Europe
28/01/2020,28,1,2020,1,0,Germany,DE,DEU,82927922,Europe
27/01/2020,27,1,2020,0,0,Germany,DE,DEU,82927922,Europe
26/01/2020,26,1,2020,0,0,Germany,DE,DEU,82927922,Europe
25/01/2020,25,1,2020,0,0,Germany,DE,DEU,82927922,Europe
24/01/2020,24,1,2020,0,0,Germany,DE,DEU,82927922,Europe
23/01/2020,23,1,2020,0,0,Germany,DE,DEU,82927922,Europe
22/01/2020,22,1,2020,0,0,Germany,DE,DEU,82927922,Europe
21/01/2020,21,1,2020,0,0,Germany,DE,DEU,82927922,Europe
20/01/2020,20,1,2020,0,0,Germany,DE,DEU,82927922,Europe
19/01/2020,19,1,2020,0,0,Germany,DE,DEU,82927922,Europe
18/01/2020,18,1,2020,0,0,Germany,DE,DEU,82927922,Europe
17/01/2020,17,1,2020,0,0,Germany,DE,DEU,82927922,Europe
16/01/2020,16,1,2020,0,0,Germany,DE,DEU,82927922,Europe
15/01/2020,15,1,2020,0,0,Germany,DE,DEU,82927922,Europe
14/01/2020,14,1,2020,0,0,Germany,DE,DEU,82927922,Europe
13/01/2020,13,1,2020,0,0,Germany,DE,DEU,82927922,Europe
12/1/2020,12,1,2020,0,0,Germany,DE,DEU,82927922,Europe
11/1/2020,11,1,2020,0,0,Germany,DE,DEU,82927922,Europe
10/1/2020,10,1,2020,0,0,Germany,DE,DEU,82927922,Europe
9/1/2020,9,1,2020,0,0,Germany,DE,DEU,82927922,Europe
8/1/2020,8,1,2020,0,0,Germany,DE,DEU,82927922,Europe
7/1/2020,7,1,2020,0,0,Germany,DE,DEU,82927922,Europe
6/1/2020,6,1,2020,0,0,Germany,DE,DEU,82927922,Europe
5/1/2020,5,1,2020,0,0,Germany,DE,DEU,82927922,Europe
4/1/2020,4,1,2020,0,0,Germany,DE,DEU,82927922,Europe
3/1/2020,3,1,2020,0,0,Germany,DE,DEU,82927922,Europe
2/1/2020,2,1,2020,0,0,Germany,DE,DEU,82927922,Europe
1/1/2020,1,1,2020,0,0,Germany,DE,DEU,82927922,Europe
31/12/2019,31,12,2019,0,0,Germany,DE,DEU,82927922,Europe
